maze_id,algorithm,heuristic,path_found,time_s,nodes_visited,nodes_generated,max_frontier_size,path_cost,path_length
1,BFS,-,True,0.00017571449279785156,126,-,-,,29
1,DFS,-,True,0.00020813941955566406,110,-,-,,35
1,Greedy,manhattan,True,0.00013529998250305653,31,53,23,28.0,29
1,Greedy,euclidean,True,7.399998139590025e-05,33,52,20,28.0,29
1,Greedy,chebyshev,True,5.800003418698907e-05,35,53,19,28.0,29
1,A*,manhattan,True,0.00013989995932206511,61,73,15,28.0,29
1,A*,euclidean,True,0.00018640002235770226,103,110,17,28.0,29
1,A*,chebyshev,True,0.00018540001474320889,107,111,17,28.0,29
